date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:05:10	24/24	---M--	200	added ('OK')	text/plain	date:Fri,%2005%20Jul%202019%2013:27:56%20GMT	https://waleedabdo.com/robots.txt		(from )
07:05:12	1815212/1815212	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202023%2004:05:11%20GMT	https://waleedabdo.com/	D:/my%20new%20site/waleedabdo.com/index.html	(from )
07:05:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2025%20Jun%202023%2004:05:13%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/my%20new%20site/www.googletagmanager.com/gtm.05445.delayed	(from https://waleedabdo.com/)
07:05:13	281592/281592	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Oct%202022%2020:21:56%20GMT	https://waleedabdo.com/web/img/logo-light.png	D:/my%20new%20site/waleedabdo.com/web/img/logo-light.png	(from https://waleedabdo.com/)
07:05:13	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	D:/my%20new%20site/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://waleedabdo.com/)
07:05:13	891/891	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Oct%202022%2020:21:54%20GMT	https://waleedabdo.com/web/css/plugins.css	D:/my%20new%20site/waleedabdo.com/web/css/plugins.css	(from https://waleedabdo.com/)
07:05:14	139078/139078	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Oct%202022%2020:21:54%20GMT	https://waleedabdo.com/web/css/style.css	D:/my%20new%20site/waleedabdo.com/web/css/style.css	(from https://waleedabdo.com/)
07:05:14	418486/418486	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Oct%202022%2020:21:56%20GMT	https://waleedabdo.com/web/img/logo-dark.png	D:/my%20new%20site/waleedabdo.com/web/img/logo-dark.png	(from https://waleedabdo.com/)
07:05:14	33878/33878	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202023%2004:05:15%20GMT	https://waleedabdo.com/profile	D:/my%20new%20site/waleedabdo.com/profile.html	(from https://waleedabdo.com/)
07:05:14	29473/29473	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202023%2004:05:15%20GMT	https://waleedabdo.com/blog	D:/my%20new%20site/waleedabdo.com/blog.html	(from https://waleedabdo.com/)
07:05:15	19362/19362	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202023%2004:05:16%20GMT	https://waleedabdo.com/gallery	D:/my%20new%20site/waleedabdo.com/gallery.html	(from https://waleedabdo.com/)
07:05:15	19900/19900	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202023%2004:05:16%20GMT	https://waleedabdo.com/contactus	D:/my%20new%20site/waleedabdo.com/contactus.html	(from https://waleedabdo.com/)
07:05:15	10205/10205	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202023%2004:05:16%20GMT	https://waleedabdo.com/student/login	D:/my%20new%20site/waleedabdo.com/student/login.html	(from https://waleedabdo.com/)
07:05:16	12451/12451	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202023%2004:05:16%20GMT	https://waleedabdo.com/student/register	D:/my%20new%20site/waleedabdo.com/student/register.html	(from https://waleedabdo.com/)
07:05:16	1552/1552	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Jun%202023%2004:05:17%20GMT	https://waleedabdo.com/facebook.com	D:/my%20new%20site/waleedabdo.com/facebook.com	(from https://waleedabdo.com/)
07:05:17	1552/1552	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Jun%202023%2004:05:17%20GMT	https://waleedabdo.com/12345678999	D:/my%20new%20site/waleedabdo.com/12345678999	(from https://waleedabdo.com/)
07:05:17	73791/73791	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Oct%202022%2020:21:56%20GMT	https://waleedabdo.com/web/img/header2.png	D:/my%20new%20site/waleedabdo.com/web/img/header2.png	(from https://waleedabdo.com/)
